dataset,method,sample_rate,hop,budget,coreness_loss,follower_computation
karate,GConvLSTM_partial,0.5,1,3,33.8,5.1
karate,GConvLSTM_partial,0.5,1,4,37.0,2.7
karate,GConvLSTM_partial,0.5,1,5,40.5,2.7
karate,GConvLSTM_partial,0.5,1,6,41.0,1.8
karate,GConvLSTM_partial,0.5,1,7,41.1,1.3
karate,GConvLSTM_partial,0.5,1,8,40.9,1.2
karate,GConvLSTM_partial,0.5,1,9,39.6,0.9
karate,GConvLSTM_partial,0.5,1,10,36.4,0.2
football,GConvLSTM_partial,0.2,2,0,0.0,23.0
football,GConvLSTM_partial,0.2,2,1,5.4,2.0
football,GConvLSTM_partial,0.2,2,2,5.5,0.3
football,GConvLSTM_partial,0.2,2,3,6.5,0.8
football,GConvLSTM_partial,0.2,2,4,10.7,1.4
football,GConvLSTM_partial,0.2,2,5,21.0,2.3
football,GConvLSTM_partial,0.2,2,6,28.0,2.4
football,GConvLSTM_partial,0.2,2,7,34.0,2.2
football,GConvLSTM_partial,0.2,2,8,34.3,1.5
football,GConvLSTM_partial,0.2,2,9,35.2,1.2
football,GConvLSTM_partial,0.2,2,10,36.2,1.0
karate,GConvLSTM_partial,0.4,1,0,0.0,13.0
karate,GConvLSTM_partial,0.4,1,1,12.3,4.7
karate,GConvLSTM_partial,0.4,1,2,18.6,2.7
karate,GConvLSTM_partial,0.4,1,3,25.2,2.8
karate,GConvLSTM_partial,0.4,1,4,29.6,2.3
karate,GConvLSTM_partial,0.4,1,5,36.1,2.9
karate,GConvLSTM_partial,0.4,1,6,36.9,2.0
karate,GConvLSTM_partial,0.4,1,7,36.8,1.2
karate,GConvLSTM_partial,0.4,1,8,37.1,1.4
karate,GConvLSTM_partial,0.4,1,9,35.6,0.8
karate,GConvLSTM_partial,0.4,1,10,32.9,0.4
strike,GConvLSTM_partial,0.1,2,0,0.0,2.0
strike,GConvLSTM_partial,0.1,2,1,2.0,1.5
strike,GConvLSTM_partial,0.1,2,2,2.9,1.4
strike,GConvLSTM_partial,0.1,2,3,3.1,0.7
strike,GConvLSTM_partial,0.1,2,4,3.4,0.8
strike,GConvLSTM_partial,0.1,2,5,2.8,0.4
strike,GConvLSTM_partial,0.1,2,6,2.9,0.3
strike,GConvLSTM_partial,0.1,2,7,4.0,0.8
strike,GConvLSTM_partial,0.1,2,8,3.7,0.5
strike,GConvLSTM_partial,0.1,2,9,4.4,0.8
strike,GConvLSTM_partial,0.1,2,10,4.6,0.8
karate,GConvLSTM_partial,0.3,2,0,0.0,10.0
karate,GConvLSTM_partial,0.3,2,1,13.7,3.7
karate,GConvLSTM_partial,0.3,2,2,19.9,2.2
karate,GConvLSTM_partial,0.3,2,3,25.6,2.2
karate,GConvLSTM_partial,0.3,2,4,27.1,1.6
karate,GConvLSTM_partial,0.3,2,5,29.4,1.5
karate,GConvLSTM_partial,0.3,2,6,33.2,1.8
karate,GConvLSTM_partial,0.3,2,7,35.3,1.5
karate,GConvLSTM_partial,0.3,2,8,35.2,1.2
karate,GConvLSTM_partial,0.3,2,9,36.2,1.5
karate,GConvLSTM_partial,0.3,2,10,35.2,0.8
strike,GConvLSTM_partial,0.2,1,0,0.0,4.0
strike,GConvLSTM_partial,0.2,1,1,2.8,1.9
strike,GConvLSTM_partial,0.2,1,2,3.7,1.0
strike,GConvLSTM_partial,0.2,1,3,3.7,0.0
strike,GConvLSTM_partial,0.2,1,4,4.4,0.7
strike,GConvLSTM_partial,0.2,1,5,4.6,0.5
strike,GConvLSTM_partial,0.2,1,6,4.8,0.4
strike,GConvLSTM_partial,0.2,1,7,5.6,0.8
strike,GConvLSTM_partial,0.2,1,8,5.2,0.5
strike,GConvLSTM_partial,0.2,1,9,5.8,1.3
strike,GConvLSTM_partial,0.2,1,10,4.3,0.2
strike,GConvLSTM_partial,0.5,2,0,0.0,12.0
strike,GConvLSTM_partial,0.5,2,1,3.7,2.0
strike,GConvLSTM_partial,0.5,2,2,5.5,1.8
strike,GConvLSTM_partial,0.5,2,3,7.4,1.9
strike,GConvLSTM_partial,0.5,2,4,8.8,1.7
strike,GConvLSTM_partial,0.5,2,5,9.6,1.3
strike,GConvLSTM_partial,0.5,2,6,10.3,0.9
strike,GConvLSTM_partial,0.5,2,7,10.1,0.3
strike,GConvLSTM_partial,0.5,2,8,10.7,0.7
strike,GConvLSTM_partial,0.5,2,9,10.6,0.3
strike,GConvLSTM_partial,0.5,2,10,11.5,0.9
mexican,GConvLSTM_partial,0.3,2,0,0.0,10.0
mexican,GConvLSTM_partial,0.3,2,1,22.2,6.2
mexican,GConvLSTM_partial,0.3,2,2,24.4,1.2
mexican,GConvLSTM_partial,0.3,2,3,26.6,1.6
mexican,GConvLSTM_partial,0.3,2,4,28.6,1.7
mexican,GConvLSTM_partial,0.3,2,5,33.3,2.0
mexican,GConvLSTM_partial,0.3,2,6,37.2,2.0
mexican,GConvLSTM_partial,0.3,2,7,39.1,1.5
mexican,GConvLSTM_partial,0.3,2,8,41.6,2.0
mexican,GConvLSTM_partial,0.3,2,9,43.3,1.5
mexican,GConvLSTM_partial,0.3,2,10,43.4,1.3
football,GConvLSTM_partial,0.2,1,0,0.0,23.0
football,GConvLSTM_partial,0.2,1,1,5.4,2.0
football,GConvLSTM_partial,0.2,1,2,7.0,0.5
football,GConvLSTM_partial,0.2,1,3,14.0,2.1
football,GConvLSTM_partial,0.2,1,4,20.9,2.0
football,GConvLSTM_partial,0.2,1,5,25.8,1.4
football,GConvLSTM_partial,0.2,1,6,31.6,2.1
football,GConvLSTM_partial,0.2,1,7,37.6,1.8
football,GConvLSTM_partial,0.2,1,8,47.3,2.4
football,GConvLSTM_partial,0.2,1,9,61.9,3.4
football,GConvLSTM_partial,0.2,1,10,63.6,1.1
football,GConvLSTM_partial,0.5,2,0,0.0,57.0
football,GConvLSTM_partial,0.5,2,1,6.0,3.0
football,GConvLSTM_partial,0.5,2,2,9.7,1.8
football,GConvLSTM_partial,0.5,2,3,12.8,1.7
football,GConvLSTM_partial,0.5,2,4,25.3,6.4
football,GConvLSTM_partial,0.5,2,5,34.5,4.8
football,GConvLSTM_partial,0.5,2,6,49.4,7.8
football,GConvLSTM_partial,0.5,2,7,57.2,4.2
football,GConvLSTM_partial,0.5,2,8,65.3,4.6
football,GConvLSTM_partial,0.5,2,9,72.4,4.4
football,GConvLSTM_partial,0.5,2,10,83.0,6.0
mexican,GConvLSTM_partial,0.4,1,0,0.0,14.0
mexican,GConvLSTM_partial,0.4,1,1,26.6,10.4
mexican,GConvLSTM_partial,0.4,1,2,28.1,1.4
mexican,GConvLSTM_partial,0.4,1,3,30.1,1.7
mexican,GConvLSTM_partial,0.4,1,4,31.5,1.2
mexican,GConvLSTM_partial,0.4,1,5,35.8,2.7
mexican,GConvLSTM_partial,0.4,1,6,36.2,0.9
mexican,GConvLSTM_partial,0.4,1,7,33.9,0.3
mexican,GConvLSTM_partial,0.4,1,8,32.7,0.5
mexican,GConvLSTM_partial,0.4,1,9,31.7,0.8
mexican,GConvLSTM_partial,0.4,1,10,32.0,1.1
football,GConvLSTM_partial,0.1,2,0,0.0,11.0
football,GConvLSTM_partial,0.1,2,1,4.8,1.9
football,GConvLSTM_partial,0.1,2,2,7.5,0.6
football,GConvLSTM_partial,0.1,2,3,8.5,0.8
football,GConvLSTM_partial,0.1,2,4,10.4,1.3
football,GConvLSTM_partial,0.1,2,5,12.1,1.6
football,GConvLSTM_partial,0.1,2,6,12.8,1.2
football,GConvLSTM_partial,0.1,2,7,15.2,1.0
football,GConvLSTM_partial,0.1,2,8,16.3,1.0
football,GConvLSTM_partial,0.1,2,9,16.6,0.8
football,GConvLSTM_partial,0.1,2,10,21.3,1.1
mexican,GConvLSTM_partial,0.5,2,0,0.0,17.0
mexican,GConvLSTM_partial,0.5,2,1,24.1,11.9
mexican,GConvLSTM_partial,0.5,2,2,25.4,1.6
mexican,GConvLSTM_partial,0.5,2,3,28.7,2.3
mexican,GConvLSTM_partial,0.5,2,4,32.0,2.1
mexican,GConvLSTM_partial,0.5,2,5,35.3,2.6
mexican,GConvLSTM_partial,0.5,2,6,43.0,4.4
mexican,GConvLSTM_partial,0.5,2,7,48.6,3.4
mexican,GConvLSTM_partial,0.5,2,8,54.8,4.1
mexican,GConvLSTM_partial,0.5,2,9,55.7,2.0
mexican,GConvLSTM_partial,0.5,2,10,56.8,2.1
karate,GConvLSTM_partial,0.1,2,0,0.0,3.0
karate,GConvLSTM_partial,0.1,2,1,7.0,1.9
karate,GConvLSTM_partial,0.1,2,2,11.6,1.5
karate,GConvLSTM_partial,0.1,2,3,14.4,1.2
karate,GConvLSTM_partial,0.1,2,4,19.1,1.3
karate,GConvLSTM_partial,0.1,2,5,20.9,1.0
karate,GConvLSTM_partial,0.1,2,6,27.2,1.4
karate,GConvLSTM_partial,0.1,2,7,30.1,1.7
karate,GConvLSTM_partial,0.1,2,8,32.3,1.3
karate,GConvLSTM_partial,0.1,2,9,33.0,1.3
karate,GConvLSTM_partial,0.1,2,10,33.2,1.1
football,GConvLSTM_partial,0.3,2,0,0.0,34.0
football,GConvLSTM_partial,0.3,2,1,5.7,2.0
football,GConvLSTM_partial,0.3,2,2,7.7,0.6
football,GConvLSTM_partial,0.3,2,3,9.6,0.9
football,GConvLSTM_partial,0.3,2,4,16.3,2.3
football,GConvLSTM_partial,0.3,2,5,23.8,2.7
football,GConvLSTM_partial,0.3,2,6,32.7,3.0
football,GConvLSTM_partial,0.3,2,7,38.0,2.4
football,GConvLSTM_partial,0.3,2,8,44.5,3.0
football,GConvLSTM_partial,0.3,2,9,54.7,3.8
football,GConvLSTM_partial,0.3,2,10,55.4,1.6
football,GConvLSTM_partial,0.4,1,0,0.0,46.0
football,GConvLSTM_partial,0.4,1,1,5.9,2.0
football,GConvLSTM_partial,0.4,1,2,7.3,0.9
football,GConvLSTM_partial,0.4,1,3,11.2,1.7
football,GConvLSTM_partial,0.4,1,4,17.5,2.8
football,GConvLSTM_partial,0.4,1,5,24.1,3.0
football,GConvLSTM_partial,0.4,1,6,35.0,4.8
football,GConvLSTM_partial,0.4,1,7,56.0,8.5
football,GConvLSTM_partial,0.4,1,8,61.8,2.7
football,GConvLSTM_partial,0.4,1,9,67.9,2.7
football,GConvLSTM_partial,0.4,1,10,80.4,5.4
strike,GConvLSTM_partial,0.3,2,0,0.0,7.0
strike,GConvLSTM_partial,0.3,2,1,3.3,2.0
strike,GConvLSTM_partial,0.3,2,2,5.1,1.9
strike,GConvLSTM_partial,0.3,2,3,6.4,1.6
strike,GConvLSTM_partial,0.3,2,4,7.0,1.1
strike,GConvLSTM_partial,0.3,2,5,7.2,0.7
strike,GConvLSTM_partial,0.3,2,6,7.4,0.5
strike,GConvLSTM_partial,0.3,2,7,7.4,0.4
strike,GConvLSTM_partial,0.3,2,8,8.2,0.8
strike,GConvLSTM_partial,0.3,2,9,8.5,0.6
strike,GConvLSTM_partial,0.3,2,10,8.6,0.6
mexican,GConvLSTM_partial,0.1,2,0,0.0,3.0
mexican,GConvLSTM_partial,0.1,2,1,16.1,1.9
mexican,GConvLSTM_partial,0.1,2,2,18.3,1.6
mexican,GConvLSTM_partial,0.1,2,3,20.9,1.7
mexican,GConvLSTM_partial,0.1,2,4,21.0,0.7
mexican,GConvLSTM_partial,0.1,2,5,22.1,1.0
mexican,GConvLSTM_partial,0.1,2,6,23.2,1.0
mexican,GConvLSTM_partial,0.1,2,7,22.4,0.7
mexican,GConvLSTM_partial,0.1,2,8,23.9,0.6
mexican,GConvLSTM_partial,0.1,2,9,25.7,1.0
mexican,GConvLSTM_partial,0.1,2,10,25.7,1.0
strike,GConvLSTM_partial,0.4,1,0,0.0,9.0
strike,GConvLSTM_partial,0.4,1,1,3.0,2.0
strike,GConvLSTM_partial,0.4,1,2,3.2,0.4
strike,GConvLSTM_partial,0.4,1,3,3.3,0.1
strike,GConvLSTM_partial,0.4,1,4,4.0,0.8
strike,GConvLSTM_partial,0.4,1,5,4.1,0.2
strike,GConvLSTM_partial,0.4,1,6,5.6,1.0
strike,GConvLSTM_partial,0.4,1,7,4.7,0.0
strike,GConvLSTM_partial,0.4,1,8,5.0,0.7
strike,GConvLSTM_partial,0.4,1,9,5.8,1.5
strike,GConvLSTM_partial,0.4,1,10,4.3,0.2
mexican,GConvLSTM_partial,0.2,1,0,0.0,7.0
mexican,GConvLSTM_partial,0.2,1,1,22.7,4.2
mexican,GConvLSTM_partial,0.2,1,2,22.9,1.0
mexican,GConvLSTM_partial,0.2,1,3,26.2,1.4
mexican,GConvLSTM_partial,0.2,1,4,28.6,1.7
mexican,GConvLSTM_partial,0.2,1,5,33.2,1.5
mexican,GConvLSTM_partial,0.2,1,6,33.2,1.1
mexican,GConvLSTM_partial,0.2,1,7,31.6,0.8
mexican,GConvLSTM_partial,0.2,1,8,30.7,0.5
mexican,GConvLSTM_partial,0.2,1,9,28.8,0.5
mexican,GConvLSTM_partial,0.2,1,10,28.3,0.5
karate,GConvLSTM_partial,0.2,1,0,0.0,6.0
karate,GConvLSTM_partial,0.2,1,1,8.4,2.1
karate,GConvLSTM_partial,0.2,1,2,16.0,2.2
karate,GConvLSTM_partial,0.2,1,3,21.0,1.7
karate,GConvLSTM_partial,0.2,1,4,29.4,1.9
karate,GConvLSTM_partial,0.2,1,5,34.1,1.9
karate,GConvLSTM_partial,0.2,1,6,36.8,1.9
karate,GConvLSTM_partial,0.2,1,7,36.6,1.5
karate,GConvLSTM_partial,0.2,1,8,35.6,1.0
karate,GConvLSTM_partial,0.2,1,9,35.8,1.3
karate,GConvLSTM_partial,0.2,1,10,33.3,0.4
karate,GConvLSTM_partial,0.5,2,0,0.0,17.0
karate,GConvLSTM_partial,0.5,2,1,12.2,6.0
karate,GConvLSTM_partial,0.5,2,2,21.1,4.6
karate,GConvLSTM_partial,0.5,2,3,31.8,5.6
karate,GConvLSTM_partial,0.5,2,4,38.2,3.8
karate,GConvLSTM_partial,0.5,2,5,41.3,2.1
karate,GConvLSTM_partial,0.5,2,6,43.4,1.7
karate,GConvLSTM_partial,0.5,2,7,44.5,1.6
karate,GConvLSTM_partial,0.5,2,8,47.2,2.6
karate,GConvLSTM_partial,0.5,2,9,47.0,1.4
karate,GConvLSTM_partial,0.5,2,10,46.3,1.2
